,coord,frequentadores
420,"[302671, 7378466]","[5090011102, 5090011102, 5090011101]"
421,"[302676, 7355205]","[4710929101, 4710929101, 4710929201]"
422,"[302702, 7394642]","[5050792102, 5050792102]"
423,"[302729, 7394768]","[5151963104, 5151963104, 5151963104, 5151963104, 5151963104, 5151963104]"
424,"[302730, 7394576]","[4820792101, 4820792101, 4820792101, 4820792101]"
425,"[302730, 7394743]","[5142361103, 2930011101, 5150041106, 5150041106, 5142361103]"
426,"[302758, 7388372]","[5082249101, 5082249101]"
427,"[302775, 7387865]","[5081127101, 5081127101]"
428,"[302777, 7418236]","[3480030101, 3480030101, 3480030101, 3480030101]"
429,"[302793, 7393261]","[5150350101, 5150350101, 5150350101, 5150350101, 5150350101]"
430,"[302825, 7387835]","[5080091102, 5080091103, 5080091102, 5080091103, 5080091102, 5080091103, 5080091103]"
431,"[302862, 7396955]","[5030638101, 5030638101]"
432,"[302924, 7364577]",[4710012101]
433,"[302925, 7401098]",[4830013101]
434,"[302934, 7417355]",[3480035101]
