,coord,frequentadores
192,"[297051, 7391506]","[5130534101, 5130534102, 5130534103, 5130534104, 5130534104, 5130534101]"
193,"[297058, 7394496]","[5130306103, 5130306103, 5130306102, 5130306102, 5130306101, 5130306104]"
194,"[297104, 7395621]","[5152071103, 5152071102, 5152071101, 5152071101]"
195,"[297167, 7352478]","[4750003101, 4750003101, 4750003101, 4750035101, 4750035101, 4750035102, 4750035102, 4750035102, 4750035102]"
196,"[297220, 7387249]","[5080090101, 5080090101, 5080090101, 5080090101, 5080090102, 5080090102, 5080090103, 5080090101, 5080090103, 5080090104, 5080090104, 5080090104]"
197,"[297346, 7409189]","[5170038101, 5170038101, 5170038102]"
198,"[297363, 7353693]","[4750046103, 4750046102, 4750046101, 4750046101, 4750046103, 4750046102]"
199,"[297373, 7409187]","[5170046102, 5170046104, 5170046101, 5170046104, 5170046101, 5170046102, 5170046103]"
200,"[297401, 7393224]","[5130304103, 5130304101, 5130304102, 5130304103, 5130304104, 5130304101, 5130304104]"
201,"[297437, 7383093]","[5080109103, 5080109103, 5080109102, 5080109102, 5080109101, 5080109101]"
202,"[297484, 7408914]","[5170037101, 5170037102, 5170037101, 5170037101, 5170037101]"
203,"[297501, 7409090]","[5170045102, 5170045101, 5170045101, 5170045102]"
204,"[297598, 7383884]",[5080078101]
205,"[297624, 7355800]","[4750057102, 4751718104, 4751718103, 4751718103, 4751718102, 4751718102, 4751718101, 4751718101, 4750057103, 4750057101, 4750057101]"
206,"[297705, 7355809]","[4750039101, 4750039102, 4750039104, 4750039104, 4750039103, 4750039101]"
207,"[297754, 7409104]","[5170027101, 5170027101, 5170027102, 5170027104, 5170027103, 5170027103, 5170027102]"
208,"[297754, 7409955]","[5170385104, 5170385101, 5170385102, 5170385103, 5170385102, 5170385104, 5170385103]"
209,"[297762, 7409171]","[5170352102, 5170352104, 5170352104, 5170352101, 5170352101, 5170352103]"
210,"[297767, 7409940]","[5170328102, 5170328102, 5170328101, 5170328102, 5170328103, 5170328101, 5170328101, 5170328101, 5170328102, 5170328103]"
211,"[297775, 7409432]","[5170310104, 5170310104, 5170310103, 5170310102, 5170310101, 5170310101]"
212,"[297800, 7409102]","[5170020101, 5170020101]"
213,"[297803, 7395941]","[5150988101, 5150988103, 5150988102, 5150988102, 5150988101]"
214,"[297818, 7395588]","[5150080103, 5150080103, 5150080101, 5150080101, 5150080102, 5150080102]"
215,"[297819, 7408874]","[5170320105, 5170320101, 5170320101, 5170320102, 5170320102, 5170320106, 5170320107, 5170320107, 5170320103, 5170320103, 5170320104, 5170320106]"
216,"[297826, 7408970]","[5170013101, 5170013102, 5170013101]"
217,"[297840, 7410356]","[5170452103, 5170452104, 5170452103, 5170452102, 5170452102, 5170452101, 5170452101, 5170452101, 5170452104]"
218,"[297906, 7387366]","[5080102102, 5080102101, 5080102101, 5080102102, 5080102101, 5080102102]"
219,"[297930, 7409454]","[5170388101, 5170388102, 5170388102, 5170388101]"
220,"[297957, 7409145]","[5170302103, 5170302101, 5170302102, 5170302103, 5170302101, 5170302104]"
221,"[298002, 7390002]","[5130024103, 5130024102, 5130018101, 5130018101, 5130018101, 5130018101, 5130024101, 5130024101, 5130024102, 5130024103, 5130024103, 5130024103, 5130018102, 5130024104, 5130024104, 5130026101, 5130026104, 5130026104, 5130026101, 5130026103, 5130026102, 5130026103, 5130026102, 5130026101, 5130018102]"
222,"[298026, 7409094]","[5170023101, 5170023102, 5170023102]"
223,"[298027, 7409095]","[5170345102, 5170345101, 5170345103, 5170345102, 5170345103]"
224,"[298087, 7408849]","[5170346104, 5170346101, 5170346104, 5170346101, 5170346102, 5170346103, 5170346102, 5170346102, 5170346102, 5170346103]"
225,"[298108, 7396258]","[5150531101, 5150531101, 5150531104, 5150531103, 5150531105, 5150531102]"
226,"[298176, 7390837]","[5130008103, 5130008101, 5130008102]"
227,"[298209, 7384200]","[5080055101, 5080055101, 5080055101, 5080055102, 5080055103, 5080055103, 5080055104, 5080055104, 5080055105, 5080055105, 5080055101]"
228,"[298215, 7395774]","[5150016101, 5150016104, 5150016102, 5150016103, 5150016103, 5150016104, 5150016102, 5150016105, 5150016106, 5150016105, 5150016106]"
229,"[298224, 7408777]","[5170033101, 5170033101, 5170033101, 5170033101, 5170033102, 5170033102, 5170033103, 5170033103]"
230,"[298237, 7408698]","[5170314101, 5170314102]"
231,"[298299, 7395297]","[5150541101, 5150541102, 5150541103, 5150541101, 5150541105, 5150541106, 5150541104, 5150541104, 5150541106, 5150541107]"
232,"[298324, 7410050]","[5170391103, 5170391102, 5170391103, 5170391102, 5170391101]"
233,"[298329, 7409561]","[5171172101, 5171172101, 5171172101, 5171172101]"
234,"[298364, 7409353]","[5170332102, 5170332101, 5170332104, 5170332103, 5170332105, 5170332105, 5170332104, 5170332102]"
235,"[298386, 7415099]","[5170012101, 5170012101, 5170012101, 5170012102, 5170012103, 5170012103, 5170012101, 5170031102, 5170012105, 5170012105, 5170012104, 5170031101, 5170031101, 5170031102, 5170012104]"
236,"[298432, 7395766]","[5150573101, 5150573101]"
237,"[298567, 7394236]","[5150059101, 5150059101, 5150059102, 5150059102]"
238,"[298577, 7384813]",[5080120101]
239,"[298589, 7363565]","[4710011105, 4710011104, 4710011105, 4710011104, 4710011102, 4710011103, 4710011101, 4710011101, 4710011103]"
240,"[298659, 7386072]","[5083457101, 5083457101]"
241,"[298659, 7400781]","[5160120101, 5160120101, 5160120101, 5160120101, 5160120101, 5160120101, 5160120102, 5160120102, 5160120101, 5160120101]"
242,"[298712, 7387221]","[5080106101, 5080106101]"
243,"[298734, 7387139]","[5082433102, 5082433101, 5082433102, 5082433101]"
